区站号,纬度,经度,累年年平均本站气压,累年年本站气压平均差,累年年本站气压标准差,累年年本站气压最大正距平,累年年本站气压最大负距平,累年年平均气温,累年气温年较差,累年年平均最高气温,累年年平均最低气温,累年年极端最高气温,累年年极端最高气温出现年份,累年年极端最高气温出现月份,累年年极端最高气温出现日期,累年年极端最低气温,累年年极端最低气温出现年份,累年年极端最低气温出现月份,累年年极端最低气温出现日期,累年年降温度日数（≥26.0℃）,累年年采暖度日数（≤18.0℃）,累年年平均气温平均差,累年年平均气温标准差,累年年平均气温最大正距平,累年年平均气温最大负距平,累年年平均水汽压,累年年水汽压平均差,累年年水汽压标准差,累年年水汽压最大正距平,累年年水汽压最大负距平,累年年平均相对湿度,累年年相对湿度平均差,累年年相对湿度标准差,累年年平均总云量,累年年平均低云量,累年年日平均总云量<2成（晴天）日数,累年年日平均总云量>8成（阴天）日数,累年年降水量,累年年最大日降水量,累年年最大日降水量出现年份,累年年最大日降水量出现月份,累年年最大日降水量出现日期,累年年日降水量≥0.1mm日数,累年年日降水量≥10.0mm日数,累年年日降水量≥25.0mm日数,累年年日降水量≥50.0mm日数,累年年降水量相对平均差,累年年降水量平均差,累年年降水量相对标准差,累年年降水量标准差,累年年降水量最大正距平百分率,累年年降水量最大负距平百分率,累年年冰雹日数,累年年大风日数,累年年沙尘暴日数,累年年雾日数,累年年雷暴日数,累年年霜日数,累年年降雪日数,累年年积雪日数,累年年能见度<1km出现频率,累年年能见度<10km出现频率,累年年蒸发量（小型蒸发）,累年年蒸发量（大型蒸发）,累年年最大积雪深度,累年年最大积雪深度出现年份,累年年最大积雪深度出现月份,累年年最大积雪深度出现日期,累年年平均风速,累年年最多风向（含静风）,累年年最多风向频率（含静风）,累年年最多风向（不含静风）,累年年最多风向频率（不含静风）,累年年平均地面温度,累年年极端最高地面温度,累年年极端最高地面温度出现年份,累年年极端最高地面温度出现月份,累年年极端最高地面温度出现日期,累年年极端最低地面温度,累年年极端最低地面温度出现年份,累年年极端最低地面温度出现月份,累年年极端最低地面温度出现日期,累年年平均5cm地温,累年年平均10cm地温,累年年平均15cm地温,累年年平均20cm地温,累年年平均40cm地温,累年年最大冻土深度,累年年最大冻土深度出现年份,累年年最大冻土深度出现月份,累年年最大冻土深度出现日期,累年年日照时数,累年年日照百分率
53821,3634,10718,8759,3,4,8,-9,92,286,163,34,386,1997,7,21,-251,999002,12,999002,48,35571,5,6,12,-14,81,4,4,8,-8,59,3,4,54,12,795,985,4095,932,2004,8,19,779,498,27,5,23,941,28,1152,78,-37,14,54,12,135,230,954,233,219,1,4,17024,999999,15,2008,1,28,17,17,29,999007,16,114,727,2005,6,21,-323,999002,12,999002,111,112,113,113,999999,110,2011,2,999003,25297,58
53845,3636,10930,9080,3,5,7,-11,104,286,176,48,393,2005,6,22,-230,1991,12,28,85,32547,7,8,11,-16,89,3,4,10,-8,59,3,3,49,12,979,794,5145,1399,1981,8,15,806,546,41,8,18,903,22,1109,50,-33,17,3,3,112,267,1018,201,192,1,16,16389,999999,12,999002,999002,999002,16,11,20,11,20,124,675,2009,6,25,-294,1991,12,27,999999,999999,999999,999999,120,77,999002,2,999008,25079,57
53853,3642,11057,8975,3,4,7,-8,97,289,167,42,385,2002,7,15,-242,2002,12,26,51,34537,5,6,10,-13,82,4,5,10,-9,57,3,4,50,9,952,873,4801,1347,1981,8,15,798,541,38,4,16,791,21,997,51,-35,10,166,5,79,327,759,222,298,0,5,19350,999999,20,2009,11,12,18,17,34,999001,9,116,696,2006,6,17,-321,2002,12,26,112,114,114,115,120,82,2011,2,999002,25186,57
53854,3635,11004,9246,4,5,9,-8,104,298,183,44,411,2005,6,22,-230,2002,12,26,131,32995,5,6,10,-11,93,3,5,11,-8,62,3,3,999999,999999,999999,999999,4807,1151,1981,8,15,786,533,39,6,16,776,22,1048,53,-40,10,10,6,167,280,960,164,207,1,4,15339,999999,14,2002,12,23,12,17,29,999007,21,130,730,1991,7,8,-281,2002,12,25,999999,999999,999999,999999,999999,80,2011,2,999004,24819,57
53859,3606,11040,9194,3,4,11,-7,108,289,181,53,397,999002,999002,999002,-213,2002,12,26,139,31416,4,5,7,-11,93,4,5,9,-9,60,3,4,999999,999999,999999,999999,4811,912,2003,8,26,782,551,36,8,16,788,21,1019,43,-42,5,16,3,108,275,758,171,207,1,20,17086,999999,18,2008,1,21,16,4,18,4,18,132,684,2010,6,21,-336,2002,12,26,124,124,127,127,999999,79,2000,2,999003,22978,52
53863,3702,11155,9312,3,4,8,-7,112,286,181,51,406,2005,6,22,-226,1990,2,1,210,30391,5,6,10,-10,93,3,4,8,-8,59,3,3,47,3,1060,863,4155,829,2004,8,13,729,488,32,6,15,621,21,870,56,-37,4,70,0,127,303,731,154,198,1,33,17514,999999,18,2006,4,12,23,17,20,11,14,130,698,2010,6,21,-288,1990,2,1,124,124,125,126,124,53,2011,2,999002,21430,49
53868,3604,11130,9642,4,5,12,-7,131,286,195,77,423,2005,6,23,-190,1990,2,1,837,26363,7,8,12,-17,110,5,7,17,-10,62,3,4,53,6,834,1017,4550,1035,2003,8,26,720,491,36,7,16,723,21,940,67,-34,3,40,3,233,231,742,124,116,2,54,17178,999999,27,2009,11,12,16,17,26,10,9,147,695,2010,6,17,-238,2000,1,19,140,142,142,141,140,50,999001,999002,999005,20944,47
53877,3610,11215,9186,3,4,7,-9,94,289,174,32,387,999002,999002,999002,-266,999002,999002,999002,24,34928,4,5,10,-10,95,3,5,13,-10,67,2,3,999999,999999,999999,999999,5391,1788,1996,7,31,853,575,44,6,16,838,22,1163,67,-46,8,1,1,108,306,988,206,261,1,16,14789,999999,25,2009,11,12,13,17,44,999009,7,123,694,2010,6,29,-316,2000,1,30,116,116,120,118,122,83,2011,2,999003,22461,51
53882,3603,11304,9039,2,3,7,-4,99,272,165,45,381,2005,6,22,-222,1984,12,24,19,33298,4,5,10,-12,90,3,4,9,-8,61,3,3,49,8,961,829,5470,982,1995,8,11,887,596,46,9,14,769,20,1076,69,-41,15,80,1,266,296,973,237,314,2,34,17979,999999,28,2009,11,12,20,17,24,999007,13,124,688,2007,7,11,-309,1984,12,18,119,120,121,121,118,59,1984,2,999003,24351,55
53884,3631,11302,9163,4,5,12,-8,97,289,173,32,391,2005,6,22,-274,1984,12,18,26,34550,4,6,10,-14,94,4,5,9,-13,64,3,4,999999,999999,999999,999999,4977,1270,1993,8,4,804,536,44,9,15,763,20,1010,57,-39,9,67,2,321,289,862,203,215,2,34,17028,999999,24,2009,11,12,17,17,35,999006,7,122,690,2005,6,23,-332,1984,12,18,115,114,118,118,115,81,999001,999002,999005,23969,54
53898,3603,11424,10082,4,5,10,-9,143,280,197,96,410,1986,7,14,-144,1990,1,31,1186,23635,4,6,11,-13,126,4,6,12,-9,65,2,3,53,13,846,982,5499,2492,1994,7,12,676,452,55,18,23,1242,29,1580,55,-50,1,23,1,133,230,841,138,121,1,12,18649,999999,18,999003,999002,999003,20,17,27,999009,17,162,696,1981,6,16,-231,1990,1,31,155,156,156,157,153,32,1984,2,16,21461,48
53903,3558,10543,8082,2,3,6,-5,58,268,130,2,334,2000,7,23,-320,1991,12,28,0,44893,6,7,14,-13,71,2,3,7,-6,65,3,3,57,31,681,1049,3910,695,2010,7,23,910,559,16,2,15,570,19,757,54,-35,20,32,6,64,208,1136,384,305,0,1,13231,999999,20,1994,10,16,20,17,22,13,11,90,733,2009,7,11,-356,1991,12,28,89,90,91,90,999999,108,1983,2,11,23398,53
53910,3540,10612,7218,3,4,6,-9,15,223,61,-16,253,2000,7,24,-277,2004,12,30,0,60239,5,6,11,-13,56,1,2,3,-5,69,2,2,59,35,675,1160,6175,911,2010,7,23,1271,831,38,4,16,987,21,1278,53,-32,48,1182,0,1534,273,125,647,871,18,19,11042,999999,24,2002,10,19,58,11,19,11,19,40,610,2000,7,24,-312,2002,12,26,999999,999999,999999,999999,999999,999999,999999,999999,999999,23077,53
53915,3533,10640,8664,3,3,6,-7,93,257,157,42,360,1997,7,21,-227,1991,12,28,6,34347,6,7,13,-15,87,3,4,7,-7,64,3,3,57,29,737,1167,4806,1669,1996,7,27,963,600,34,6,20,951,24,1141,38,-43,14,94,6,60,241,1258,363,232,0,12,14432,999999,13,1984,12,15,20,14,19,14,19,116,727,2004,6,21,-277,1991,12,28,113,113,113,113,114,48,999002,999002,999006,23506,53
53923,3544,10738,8586,3,4,7,-9,92,256,143,52,364,1997,7,21,-214,1991,12,28,11,34717,7,8,15,-17,85,3,4,6,-8,62,3,4,53,15,884,1001,5276,1159,2006,7,2,964,621,38,7,17,907,23,1189,57,-37,10,22,4,266,222,1272,349,360,2,3,14668,999999,23,1993,3,17,22,9,13,9,13,111,662,1995,7,4,-283,1991,12,28,107,107,107,107,106,74,1992,1,29,24382,55
53929,3512,10748,8814,3,4,9,-9,94,266,155,42,376,1997,7,21,-262,2002,12,26,15,34419,5,6,10,-13,96,4,5,9,-9,69,3,4,55,24,799,1028,5750,1207,2010,7,23,975,655,44,6,17,970,23,1318,66,-49,10,30,2,354,218,1064,299,320,2,8,13555,999999,20,1993,3,17,22,17,16,999007,13,117,659,1981,6,12,-316,2002,12,25,115,116,115,115,999999,67,999001,999002,999005,20514,47
53942,3549,10930,8863,2,3,5,-7,100,262,157,51,375,2006,6,17,-230,2002,12,26,19,32747,6,7,10,-17,89,4,5,10,-8,61,3,4,56,15,763,1075,5924,1316,2001,7,27,917,635,47,8,14,855,20,1170,57,-42,14,20,4,433,242,795,261,317,3,16,15584,999999,25,2008,1,21,19,17,21,999001,13,118,674,2005,6,20,-294,2002,12,26,999999,999999,999999,999999,121,93,1995,2,10,25140,57
53948,3457,10935,9589,3,4,10,-7,137,273,194,92,414,2006,6,17,-167,1991,12,28,1085,24364,6,7,14,-15,116,5,6,13,-11,63,4,4,999999,999999,999999,999999,5199,1010,1984,6,5,819,554,42,5,18,939,26,1342,69,-48,3,49,3,145,161,614,149,113,1,25,16661,999999,16,2009,11,12,22,3,16,3,16,157,703,2010,6,30,-177,1991,12,28,147,147,150,149,999999,36,2003,1,999002,22289,51
53955,3528,11027,9635,3,4,9,-8,138,273,193,91,409,2002,7,12,-167,1991,12,28,931,24159,5,6,9,-14,111,4,5,9,-10,59,2,3,999999,999999,999999,999999,5494,1202,1998,7,8,781,535,50,12,19,1044,26,1405,66,-52,3,32,3,67,249,801,134,142,0,14,17768,999999,22,2008,1,19,20,17,16,999003,12,154,683,1986,7,24,-247,1991,12,28,145,145,148,147,999999,37,2003,1,999007,22808,52
53959,3503,11103,9740,4,5,15,-8,142,281,201,92,417,2005,6,23,-149,2008,12,22,1552,23875,5,7,13,-13,116,4,5,11,-10,61,3,3,53,8,853,1016,5184,1221,2007,7,19,748,531,47,7,19,965,24,1235,64,-45,2,210,0,101,151,627,126,85,1,19,19896,999999,12,2009,11,12,25,17,14,999007,11,160,699,2005,6,24,-216,1991,12,28,153,153,153,153,154,49,2003,1,999002,21368,48
53963,3539,11122,9660,3,4,10,-9,129,284,196,74,412,2002,7,12,-214,1991,12,28,747,26588,5,6,10,-13,113,4,5,10,-8,65,3,3,53,5,878,1032,4961,1584,1998,7,8,765,523,42,4,15,752,20,985,50,-44,8,25,3,237,219,942,142,153,2,50,16109,999999,17,2009,11,12,19,17,14,999001,9,151,724,2010,6,22,-255,1991,12,28,143,142,144,144,143,53,2011,2,999005,21129,48
53968,3517,11140,9580,2,3,7,-5,133,260,190,86,405,1990,7,15,-142,2008,1,14,475,24587,3,4,8,-12,113,4,6,12,-14,61,3,3,999999,999999,999999,999999,6205,2440,2007,7,30,848,600,59,11,20,1229,26,1633,62,-51,4,144,1,72,200,329,174,169,0,25,19027,999999,19,999002,999002,999002,26,17,20,15,15,152,680,1995,7,4,-220,1989,1,14,142,142,146,145,999999,31,1993,1,25,20399,46
53975,3529,11224,9408,2,3,6,-4,120,269,181,71,397,2002,7,15,-172,1990,2,1,179,27883,4,5,10,-12,103,4,5,12,-10,61,3,4,55,7,798,1067,5784,1447,1982,8,1,837,583,47,7,18,1013,23,1322,55,-41,6,120,2,109,262,924,216,220,1,26,16481,999999,25,2009,11,12,17,17,32,14,9,141,678,2007,5,28,-281,1990,2,1,136,136,137,137,137,34,2003,1,999003,24259,55
53986,3519,11353,10081,3,4,9,-6,145,271,200,98,409,2009,6,25,-160,1990,2,1,1095,22577,5,6,10,-13,132,4,5,11,-10,67,3,3,56,11,764,1098,5540,1706,2000,7,5,717,467,55,19,21,1181,27,1498,56,-56,5,56,5,308,234,871,128,92,2,53,15901,999999,26,2009,11,12,20,17,23,999004,14,163,701,2002,7,15,-211,2002,12,25,158,158,158,158,154,23,2011,1,999005,21354,48
54012,4434,11738,9000,3,4,8,-10,20,389,88,-42,378,2007,7,26,-407,2010,1,5,29,59818,6,8,15,-15,56,2,2,7,-5,59,2,3,45,17,972,540,3249,958,1995,6,29,957,485,16,2,21,677,27,869,74,-55,19,409,14,25,304,1159,765,1303,0,0,17334,999999,28,2001,2,999008,33,17,15,12,13,48,670,2004,6,10,-385,2001,2,6,999999,999999,999999,999999,999999,220,2005,999002,999026,28192,64
54026,4434,12054,9834,4,5,12,-9,71,363,134,16,437,2007,6,10,-277,1990,1,26,239,44917,6,7,18,-15,70,3,4,8,-6,48,2,3,43,10,1073,571,3619,1519,1987,8,19,614,388,32,5,29,1042,34,1216,77,-42,8,157,9,16,288,317,177,217,0,0,19659,999999,20,1991,4,24,25,15,18,15,18,87,666,1997,7,12,-369,2001,1,12,999999,999999,999999,999999,88,156,2011,2,999002,28130,65
54027,4359,11924,9579,4,5,10,-12,59,359,129,-8,399,2007,6,10,-322,2001,1,12,87,47716,6,8,19,-18,67,3,4,9,-10,50,3,4,38,13,1287,431,3697,1122,1993,7,31,643,407,30,8,26,945,33,1216,83,-43,8,299,7,12,306,465,189,294,0,0,16424,999999,28,1985,3,1,26,17,28,999001,10,79,681,2010,7,27,-340,2001,1,5,999999,999999,999999,999999,74,175,2010,3,13,29789,68
54041,4448,12304,9962,3,4,8,-7,60,394,123,3,416,2007,6,10,-351,999002,999002,999002,205,48560,6,7,16,-14,77,3,5,13,-8,56,3,3,37,12,1406,430,3706,1075,1988,8,21,624,394,32,7,23,863,28,1043,57,-48,5,356,25,52,290,1014,238,503,0,2,18818,999999,20,2010,11,13,37,10,11,10,11,80,670,2006,7,18,-426,2001,2,3,999999,999999,999999,999999,80,173,2004,2,999005,27505,63
54049,4415,12358,9924,4,5,11,-10,60,388,119,7,376,2001,6,4,-349,2001,1,14,111,48235,6,8,15,-16,81,3,4,7,-7,59,2,3,40,20,1291,512,4217,1715,1994,7,13,770,459,34,7,21,907,28,1198,70,-39,8,152,5,69,293,1130,296,637,0,2,16038,999999,22,2001,1,11,31,10,15,10,15,76,673,2010,6,24,-445,2001,2,3,999999,999999,999999,999999,76,146,2004,999002,999021,26662,61
54063,4458,12600,9906,4,6,11,-18,48,402,107,-6,386,2001,6,4,-373,2001,1,12,57,52005,6,8,16,-13,81,3,4,10,-7,64,2,3,45,23,1034,640,5057,1887,1994,8,6,974,582,38,8,23,1139,29,1469,70,-54,12,154,2,133,346,1462,461,981,1,4,14022,999999,30,2010,3,24,31,10,13,10,13,67,661,2010,6,26,-462,999002,999002,999002,999999,999999,999999,999999,70,197,1984,4,16,24310,55
54064,4423,12509,9942,3,4,10,-7,54,394,113,-1,378,2001,6,4,-372,999002,1,999002,73,49792,6,8,15,-15,82,3,4,9,-6,62,2,3,44,17,1111,621,4983,1222,1994,7,13,937,563,40,9,25,1254,30,1505,60,-42,18,187,3,118,324,1431,371,747,0,10,15599,999999,28,2001,1,999006,31,17,14,10,13,73,667,2007,6,24,-445,2001,1,13,999999,999999,999999,999999,70,167,2003,3,999009,26676,61
54094,4434,12936,9857,4,5,10,-10,48,390,111,-6,384,1997,7,24,-353,999002,999002,999002,53,51415,6,7,13,-10,81,2,3,8,-5,66,2,2,52,31,771,836,5612,949,1985,6,20,1134,709,39,5,11,634,14,766,22,-29,10,157,0,108,240,1615,548,972,1,30,11146,999999,35,999002,999002,999002,23,17,18,11,12,66,710,1984,7,21,-440,2001,1,12,999999,999999,999999,999999,66,188,1985,999002,999010,23204,53
54096,4423,13110,9465,4,5,12,-9,32,354,90,-21,353,1982,7,9,-334,1990,1,999002,3,55259,5,6,10,-13,74,2,3,7,-4,67,2,2,49,25,953,787,5750,1211,1982,8,28,1215,726,37,4,14,808,18,1031,34,-32,15,338,0,711,224,900,654,1241,4,9,10986,999999,47,2006,4,21,31,17,24,13,20,54,655,1988,8,7,-377,1990,1,24,999999,999999,999999,999999,999999,229,1985,4,17,23254,54
54102,4357,11607,9003,3,4,10,-9,30,404,101,-32,394,2010,7,25,-377,2010,1,6,74,57190,7,8,14,-18,56,2,3,9,-6,56,2,3,41,13,1086,458,2635,992,2004,8,11,766,411,10,1,26,675,30,801,64,-54,12,411,19,8,265,1336,508,992,0,1,19304,999999,27,1991,3,27,34,11,12,11,12,60,696,2010,7,2,-417,2001,1,4,999999,999999,999999,999999,64,275,2004,999002,999016,29849,68
54115,4336,11804,9222,3,4,9,-8,52,351,117,-9,404,2000,7,14,-313,1990,1,31,49,49428,5,7,15,-17,61,2,3,7,-9,50,2,2,38,15,1266,395,3694,1407,1983,8,14,708,433,29,4,22,800,27,1008,63,-44,13,268,5,4,344,495,265,314,0,1,19954,999999,19,1985,11,8,26,17,24,12,13,74,681,1997,7,13,-374,1990,1,31,999999,999999,999999,999999,75,210,1984,3,13,29389,67
54134,4336,12117,9864,4,4,9,-7,70,372,136,11,411,2007,6,10,-336,2001,1,10,218,45238,5,7,16,-15,76,2,4,10,-11,52,2,3,41,7,1209,519,3275,831,2006,7,5,628,381,29,3,21,693,28,901,71,-48,7,429,17,25,261,858,194,357,0,1,19365,999999,18,1985,11,10,38,15,11,15,11,92,654,2004,6,13,-383,2001,1,10,999999,999999,999999,999999,93,179,2005,3,12,31034,71
54135,4336,12216,9938,3,4,7,-7,71,372,134,15,391,2007,6,11,-339,2001,1,12,169,44831,5,7,15,-15,80,3,4,11,-10,54,2,3,43,13,1138,592,3677,1744,2006,8,12,649,403,29,6,20,737,26,937,57,-47,9,339,8,54,267,737,212,346,0,1,17956,999999,17,2001,1,9,39,14,12,14,12,91,661,2008,6,16,-388,2001,1,10,999999,999999,999999,999999,90,172,1985,3,10,30113,69
54142,4330,12332,10016,3,4,12,-6,65,382,129,8,391,2001,6,5,-388,2001,1,13,85,46443,5,7,12,-12,88,3,4,9,-7,62,3,3,39,18,1328,489,4595,1524,1994,7,13,719,470,40,9,19,853,23,1054,37,-50,9,211,3,91,296,1293,250,467,0,2,18574,999999,18,2001,1,999007,31,17,15,999009,13,84,694,2007,6,26,-473,2001,1,17,999999,999999,999999,999999,82,140,1984,3,999004,27500,63
54157,4310,12420,9958,3,4,10,-7,71,369,127,21,373,1997,6,28,-323,999002,1,999002,101,44470,6,8,13,-14,89,3,4,11,-6,63,2,2,45,26,1072,646,6043,1571,1997,8,21,936,622,56,11,17,1004,20,1220,39,-39,12,183,0,61,305,1352,361,765,0,7,12379,999999,22,2001,1,999002,27,10,18,10,18,87,675,2010,6,25,-421,2001,1,11,999999,999999,999999,999999,83,136,1984,3,16,26440,61
54161,4354,12513,9867,4,5,12,-9,61,379,114,14,367,2001,6,4,-337,2001,1,11,77,47484,7,8,16,-13,84,3,3,9,-6,62,2,3,43,22,1144,613,5771,1220,1997,8,21,978,617,47,12,17,991,22,1264,52,-43,12,325,0,109,307,1489,400,920,0,6,15794,999999,30,2000,1,999002,35,11,18,11,18,79,677,2007,6,22,-466,2001,1,999002,999999,999999,999999,999999,74,169,1984,3,999003,25812,59
54165,4333,12538,9885,5,10,14,-48,58,386,118,3,379,2001,6,4,-386,2001,1,13,68,48408,6,7,16,-11,87,3,4,9,-7,65,2,2,46,22,1048,670,6201,1602,1991,7,22,1076,687,49,12,19,1173,24,1465,61,-36,20,92,0,115,343,1535,493,946,1,14,14083,999999,24,2000,1,999003,24,17,13,999009,12,77,652,2010,6,25,-454,2001,1,13,999999,999999,999999,999999,76,153,1984,3,12,24329,55
54171,4342,12631,9877,4,5,12,-8,56,384,118,-3,378,1997,7,24,-404,2001,1,13,46,48899,6,7,13,-11,86,3,3,8,-7,66,2,2,47,24,995,676,6877,1420,1989,7,22,1200,789,56,8,16,1131,21,1478,49,-38,15,82,0,59,319,1472,584,1073,0,9,13706,999999,39,2000,1,999002,22,17,29,10,19,70,651,2010,6,25,-456,2001,1,13,999999,999999,999999,999999,76,151,1984,3,20,23590,54
54181,4342,12720,9802,4,5,12,-9,43,396,106,-13,358,1997,7,24,-418,2001,1,13,9,52606,5,6,15,-10,84,2,3,9,-6,70,1,2,49,28,874,748,6912,1289,1989,7,22,1270,785,53,8,16,1108,20,1376,39,-33,12,188,0,282,383,1446,661,1137,1,16,12136,999999,44,2010,3,23,26,17,24,10,14,59,648,2010,6,25,-481,1987,1,10,999999,999999,999999,999999,75,184,1984,3,999002,22693,52
54186,4322,12812,9528,4,6,13,-10,38,364,101,-18,364,1997,7,24,-358,1987,1,999002,2,53593,6,7,12,-14,77,2,3,8,-5,68,2,2,46,29,1020,666,6336,1387,1999,9,8,1205,750,45,5,10,619,13,798,32,-18,15,113,0,174,291,1684,675,1094,0,7,12203,999999,55,2007,3,5,25,17,21,12,11,55,657,1994,8,12,-390,2001,1,13,999999,999999,999999,999999,61,184,1983,999002,999021,22583,52
54195,4318,12947,9859,4,6,9,-10,46,362,117,-13,378,2010,6,25,-363,2010,1,1,9,50913,4,5,9,-8,81,3,3,7,-5,67,1,2,50,28,864,831,5507,762,1982,8,28,1073,697,34,5,14,744,17,928,38,-29,6,34,0,128,236,1470,467,953,0,8,11884,999999,45,2002,1,8,17,17,42,14,9,72,690,2010,6,25,-438,2001,1,16,999999,999999,999999,999999,68,154,1984,3,29,23198,53
54208,4211,11628,8749,4,5,10,-11,28,363,99,-34,368,2010,7,29,-384,2010,1,7,2,56424,6,8,15,-19,60,2,3,8,-7,60,2,3,42,16,1136,497,3780,1547,2000,8,12,836,512,22,3,14,541,18,691,35,-34,27,491,18,56,383,1639,611,889,0,1,16455,999999,23,1998,10,26,33,17,19,14,13,51,664,2008,7,26,-435,2000,2,1,999999,999999,999999,999999,55,175,2007,999002,999024,29437,67
54213,4256,11901,9411,3,4,9,-6,67,346,131,9,405,2000,7,14,-274,1990,1,25,124,44976,5,6,10,-14,66,2,3,8,-8,47,2,2,38,11,1312,448,3406,1432,1991,6,11,684,430,24,6,22,765,29,978,73,-49,11,319,10,8,292,392,228,297,0,1,19969,999999,20,2007,3,5,29,17,17,15,13,86,688,2007,7,6,-375,2001,1,10,999999,999999,999999,999999,80,178,2011,2,999004,29858,68
54218,4216,11856,9490,2,3,9,-8,78,341,147,19,404,2000,7,14,-278,2001,1,13,177,41897,4,5,12,-13,71,2,3,11,-7,49,2,3,40,13,1202,461,3700,871,2000,7,27,673,458,26,5,22,825,27,981,51,-37,17,139,7,17,289,583,190,252,0,3,20285,999999,23,1985,11,9,23,17,19,11,14,93,697,2001,8,18,-365,1990,1,31,999999,999999,999999,999999,89,163,1984,2,25,28645,65
54226,4220,12042,9682,3,4,10,-8,75,345,138,17,437,2000,7,14,-303,2001,1,12,115,42757,4,6,10,-13,76,3,4,12,-10,51,2,3,40,11,1225,483,4021,1876,1994,7,13,695,430,36,4,20,818,26,1040,72,-37,13,240,11,96,313,367,211,275,0,2,21938,999999,17,1987,2,17,29,17,23,15,12,95,694,2007,6,23,-372,2001,1,11,999999,999999,999999,999999,92,149,999002,999002,999009,29394,67
54236,4223,12233,10060,3,4,9,-7,79,358,141,23,383,2001,6,5,-363,2001,1,15,96,41959,5,6,14,-12,92,4,5,12,-7,60,2,3,40,22,1278,539,4979,1446,1988,7,22,726,474,46,13,19,938,23,1165,45,-41,9,364,6,263,307,1126,188,381,1,17,17834,999999,26,2007,3,5,38,10,15,10,15,98,681,2000,6,18,-402,2001,1,999002,999999,999999,999999,999999,999999,129,999002,999002,999017,26152,60
54237,4204,12145,9957,4,4,11,-10,83,351,148,26,409,2000,7,13,-309,2001,1,11,181,40779,4,5,8,-10,89,3,4,10,-6,57,2,2,43,17,1153,595,4766,1617,1994,7,13,697,466,47,11,21,996,25,1214,63,-37,11,208,3,155,278,871,189,319,1,23,16044,999999,14,999002,999002,999004,25,17,23,11,12,102,688,1991,6,13,-387,2001,1,11,999999,999999,999999,999999,999999,138,2001,2,25,27096,62
54243,4247,12407,9967,3,4,8,-7,73,366,127,25,365,2000,7,8,-328,2001,1,13,89,43831,6,7,12,-14,90,3,4,9,-6,62,2,3,999999,999999,999999,999999,6012,1396,2010,7,20,894,602,54,15,19,1155,23,1375,54,-30,13,325,0,95,312,1283,360,741,1,22,17003,999999,26,2001,1,999004,33,10,17,10,17,91,664,1996,6,19,-422,2001,1,11,999999,999999,999999,999999,999999,142,1983,999002,999021,27166,62
54254,4232,12403,10039,2,3,8,-7,73,373,135,18,371,2001,6,3,-379,2001,1,14,108,43769,6,7,15,-12,95,4,4,9,-7,66,2,2,42,23,1226,571,6728,1747,2005,8,13,889,618,64,17,20,1341,25,1697,64,-33,9,65,0,110,307,1431,303,739,0,9,15888,999999,26,999002,999002,999002,26,10,15,10,15,93,637,999002,6,999002,-420,999002,1,999002,999999,999999,999999,999999,999999,131,1983,999002,999023,25239,57
54259,4206,12455,9883,3,4,10,-8,62,374,135,3,372,999002,7,999002,-363,2001,1,15,55,46794,5,6,13,-12,91,3,4,8,-6,70,1,2,45,31,1050,663,7808,1644,2005,8,13,1124,771,67,18,17,1360,22,1690,52,-29,13,57,0,359,326,1739,516,967,2,20,11288,999999,44,2007,3,5,16,17,35,12,14,84,661,2007,6,25,-411,1987,1,13,999999,999999,999999,999999,999999,138,1984,3,11,23672,54
54260,4255,12505,9854,3,4,9,-9,58,388,123,-1,367,2001,6,4,-410,2001,1,13,56,48330,6,7,15,-13,90,3,4,9,-8,69,2,2,45,23,1095,637,6228,1101,2010,7,21,1057,700,49,13,19,1168,24,1503,61,-37,11,137,0,121,312,1465,432,918,0,12,13819,999999,39,2000,999002,999010,24,17,22,999006,9,75,661,2007,6,22,-455,2001,1,11,999999,999999,999999,999999,76,700,1983,999003,999044,24172,55
54263,4258,12603,9753,3,4,9,-7,50,393,114,-10,358,2001,6,4,-418,2001,1,14,25,50671,6,7,15,-12,86,3,4,9,-5,69,1,2,46,26,998,661,7118,1178,2003,6,28,1173,761,63,14,18,1274,22,1556,49,-41,22,130,0,172,337,1509,538,1078,1,9,13149,999999,34,2001,1,2,21,17,31,11,8,67,652,2010,6,10,-491,2001,1,13,999999,999999,999999,999999,73,187,1983,999002,999011,23517,54
54266,4232,12538,9752,3,4,9,-8,58,376,119,4,361,2000,7,9,-377,2001,1,13,31,48105,5,6,14,-12,88,2,3,7,-5,68,2,2,42,22,1183,532,6969,1475,1995,7,29,1143,746,57,10,15,1051,20,1418,66,-36,19,83,0,168,349,1568,550,1006,1,8,12694,999999,33,2007,3,5,26,10,16,10,16,74,614,2008,8,9,-420,2001,1,13,999999,999999,999999,999999,76,146,999002,3,999001,23871,55
54273,4259,12645,9842,4,5,11,-11,49,401,116,-9,355,2010,6,25,-441,1987,1,10,25,51087,6,7,16,-12,88,3,4,8,-9,70,2,2,51,34,864,801,7792,1219,2010,7,28,1292,845,64,13,15,1206,19,1508,47,-32,12,110,0,288,370,1785,604,1055,1,11,11965,999999,47,2001,1,999002,21,17,35,12,14,71,629,2006,7,7,-461,2001,1,13,999999,999999,999999,999999,73,136,1984,3,999008,21777,49
